release_year,release_month,budget,popularity,runtime,vote_average,vote_count,lang_en,lang_others,genre_action,genre_comedy,genre_adventure,genre_fantasy,revenue,ROI,ROI_category
2025,3,150000000,681.3142,101,5.869,126,1,0,0,1,1,1,10550000,-92.97,High Risk
2025,3,40000000,352.8585,116,6.9,109,1,0,1,0,0,0,33392248,-16.52,Medium Risk
