feature,importance
budget,0.19007316796369625
vote_count,0.16886251857302695
vote_average,0.10447049873459732
popularity,0.10345453235565621
release_year,0.09359057510150602
runtime,0.080480814530503
release_month,0.06309703601313539
genre_comedy,0.02308802908581934
lang_others,0.018995430358733092
genre_horror,0.015782404377547504
genre_drama,0.014791459006310648
genre_thriller,0.014405345901833407
lang_en,0.012723104210812
genre_action,0.012384094508168627
genre_romance,0.011708614751649256
genre_adventure,0.01032757378456706
genre_crime,0.009478817588643348
genre_animation,0.009005460444096633
genre_science_fiction,0.008737531036927041
genre_mystery,0.008214672048893918
genre_fantasy,0.008069347476347377
genre_family,0.007285652788454148
genre_history,0.003640540400216357
genre_music,0.002739531940286049
genre_war,0.002586246130458458
genre_western,0.0013523956994363304
genre_documentary,0.000596408354341132
genre_tv_movie,5.8196834337201924e-05
